tid,attribute,correct_val
754894,Datetime,06/20/2011 01:49:40 PM
754894,Latitude,47.602342
754894,Longitude,-122.30373600000001
754894,Incident Number,F110054890
1152892,Type,Rescue Automobile
1152892,Datetime,07/22/2006 05:40:19 PM
1152892,Latitude,47.621434
1152892,Longitude,-122.283004
1152892,Incident Number,F060071000
1186629,Type,Boat Taking Water Minr/Sho
1186629,Datetime,02/24/2006 09:22:46 PM
1186629,Latitude,47.645162
1186629,Longitude,-122.334694
1186629,Incident Number,F060018199
1253096,Type,"Assault w/Weapons, Aid"
1253096,Datetime,04/27/2005 06:33:38 PM
1253096,Latitude,47.521373
1253096,Longitude,-122.26614199999999
1253096,Incident Number,F050039434
0,Address,4818 M L King Jr Way S
0,Type,Aid Response
0,Datetime,05/23/2019 02:02:00 PM
0,Latitude,47.559093
0,Longitude,-122.292171
0,Incident Number,F190052361
1,Address,410 2nd Av Et S
1,Type,Aid Response
1,Datetime,05/23/2019 01:53:00 PM
1,Latitude,47.601202
1,Longitude,-122.331511
1,Incident Number,F190052360
2,Address,708 6th Av N
2,Type,Aid Response
2,Datetime,05/23/2019 01:49:00 PM
2,Latitude,47.625474
2,Longitude,-122.344953
2,Incident Number,F190052359
3,Address,3400 Rainier Av S
3,Type,Aid Response
3,Datetime,05/23/2019 01:48:00 PM
3,Latitude,47.572919
3,Longitude,-122.29400600000001
3,Incident Number,F190052358
4,Address,3811 NE 95TH ST
4,Type,Medic Response
4,Datetime,05/23/2019 01:42:00 PM
4,Latitude,47.697433000000004
4,Longitude,-122.28724799999999
4,Incident Number,F190052357
5,Address,2542 57th Av Sw
5,Type,Aid Response
5,Datetime,05/23/2019 01:42:00 PM
5,Latitude,47.580391999999996
5,Longitude,-122.40521899999999
5,Incident Number,F190052356
6,Address,15th Av Ne / Ne 145th St
6,Type,Aid Response
6,Datetime,05/23/2019 01:41:00 PM
6,Latitude,47.733952
6,Longitude,-122.312749
6,Incident Number,F190052355
7,Address,401 Ne Northgate Way
7,Type,Aid Response
7,Datetime,05/23/2019 01:40:00 PM
7,Latitude,47.708602
7,Longitude,-122.32458799999999
7,Incident Number,F190052354
8,Address,2542 57th Av Sw
8,Type,Medic Response
8,Datetime,05/23/2019 01:38:00 PM
8,Latitude,47.580391999999996
8,Longitude,-122.40521899999999
8,Incident Number,F190052353
9,Address,1411 Ne 120th St
9,Type,Medic Response
9,Datetime,05/23/2019 01:33:00 PM
9,Latitude,47.715798
9,Longitude,-122.313769
9,Incident Number,F190052351
10,Address,9455 27th Av Sw
10,Type,Trans to AMR
10,Datetime,05/23/2019 01:27:00 PM
10,Latitude,47.518178000000006
10,Longitude,-122.367277
10,Incident Number,F190052350
11,Address,Westlake Av / Denny Way
11,Type,MVI - Motor Vehicle Incident
11,Datetime,05/23/2019 01:22:00 PM
11,Latitude,47.618534000000004
11,Longitude,-122.338485
11,Incident Number,F190052348
12,Address,999 Hiawatha Pl S
12,Type,Aid Response Yellow
12,Datetime,05/23/2019 01:22:00 PM
12,Latitude,47.593568
12,Longitude,-122.30845900000001
12,Incident Number,F190052349
13,Address,4540 42nd Av Sw
13,Type,Aid Response
13,Datetime,05/23/2019 01:18:00 PM
13,Latitude,47.562517
13,Longitude,-122.38545500000001
13,Incident Number,F190052345
14,Address,3204 Sw Morgan St
14,Type,Aid Response
14,Datetime,05/23/2019 01:13:00 PM
14,Latitude,47.544669
14,Longitude,-122.373777
14,Incident Number,F190052344
15,Address,3rd Av / Virginia St
15,Type,Aid Response
15,Datetime,05/23/2019 01:11:00 PM
15,Latitude,47.612398
15,Longitude,-122.340892
15,Incident Number,F190052343
16,Address,211 Dexter Av N
16,Type,Auto Fire Alarm
16,Datetime,05/23/2019 01:01:00 PM
16,Latitude,47.619839
16,Longitude,-122.34239099999999
16,Incident Number,F190052342
17,Address,12335 Lake City Way Ne
17,Type,Aid Response
17,Datetime,05/23/2019 12:56:00 PM
17,Latitude,47.71839
17,Longitude,-122.295759
17,Incident Number,F190052341
18,Address,8621 Delridge Way Sw
18,Type,Aid Response Yellow
18,Datetime,05/23/2019 12:53:00 PM
18,Latitude,47.526298
18,Longitude,-122.36047099999999
18,Incident Number,F190052338
19,Address,4831 35th Av Sw
19,Type,Aid Response
19,Datetime,05/23/2019 12:48:00 PM
19,Latitude,47.558988
19,Longitude,-122.37623400000001
19,Incident Number,F190052336
20,Address,9800 4th Av Ne
20,Type,Medic Response
20,Datetime,05/23/2019 12:44:00 PM
20,Latitude,47.699872
20,Longitude,-122.324247
20,Incident Number,F190052335
21,Address,4060 East Stevens Way Ne
21,Type,Trans to AMR
21,Datetime,05/23/2019 12:41:00 PM
21,Latitude,47.656732
21,Longitude,-122.304799
21,Incident Number,F190052334
22,Address,2214 2nd Av
22,Type,Aid Response
22,Datetime,05/23/2019 12:37:00 PM
22,Latitude,47.613372999999996
22,Longitude,-122.344525
22,Incident Number,F190052337
23,Address,420 4th Av
23,Type,Aid Response
23,Datetime,05/23/2019 12:37:00 PM
23,Latitude,47.601986
23,Longitude,-122.32914
23,Incident Number,F190052333
24,Address,Ne 45th St / Memorial Way Ne
24,Type,Rubbish Fire
24,Datetime,05/23/2019 12:34:00 PM
24,Latitude,47.661259
24,Longitude,-122.30951200000001
24,Incident Number,F190052331
25,Address,2307 1st Av
25,Type,Aid Response
25,Datetime,05/23/2019 12:33:00 PM
25,Latitude,47.613422
25,Longitude,-122.346593
25,Incident Number,F190052330
26,Address,1006 Spring St
26,Type,TEST - MIS TEST
26,Datetime,05/23/2019 12:30:00 PM
26,Latitude,47.609615000000005
26,Longitude,-122.326834
26,Incident Number,F190052329
27,Address,13000 Lake City Way Ne
27,Type,Aid Response
27,Datetime,05/23/2019 12:30:00 PM
27,Latitude,47.722899
27,Longitude,-122.293194
27,Incident Number,F190052328
28,Address,105 5th Av S
28,Type,Aid Response Yellow
28,Datetime,05/23/2019 12:27:00 PM
28,Latitude,47.601643
28,Longitude,-122.327656
28,Incident Number,F190052327
29,Address,Rainier Av S / M L King Jr Way S
29,Type,Aid Response
29,Datetime,05/23/2019 12:26:00 PM
29,Latitude,47.576359000000004
29,Longitude,-122.29663000000001
29,Incident Number,F190052326
30,Address,1006 Spring St
30,Type,Aid Response Yellow
30,Datetime,05/23/2019 12:24:00 PM
30,Latitude,47.609615000000005
30,Longitude,-122.326834
30,Incident Number,F190052325
31,Address,2001 15th Av W
31,Type,Aid Response
31,Datetime,05/23/2019 12:23:00 PM
31,Latitude,47.636719
31,Longitude,-122.37614099999999
31,Incident Number,F190052324
32,Address,Olive Way / 4th Av
32,Type,Aid Response
32,Datetime,05/23/2019 12:18:00 PM
32,Latitude,47.612182000000004
32,Longitude,-122.33854299999999
32,Incident Number,F190052323
33,Address,750 Republican St
33,Type,Aid Response
33,Datetime,05/23/2019 12:13:00 PM
33,Latitude,47.623224
33,Longitude,-122.34236100000001
33,Incident Number,F190052322
34,Address,401 Broadway
34,Type,Aid Response
34,Datetime,05/23/2019 12:00:00 PM
34,Latitude,47.605225
34,Longitude,-122.32075
34,Incident Number,F190052319
35,Address,3212 Claremont Av S
35,Type,Hang-Up- Aid
35,Datetime,05/23/2019 12:00:00 PM
35,Latitude,47.574211
35,Longitude,-122.296529
35,Incident Number,F190052320
36,Address,1000 4th Av S
36,Type,Aid Response
36,Datetime,05/23/2019 11:58:00 AM
36,Latitude,47.594333
36,Longitude,-122.329049
36,Incident Number,F190052316
37,Address,3039 Nw 71st St
37,Type,Aid Response
37,Datetime,05/23/2019 11:58:00 AM
37,Latitude,47.68023
37,Longitude,-122.396216
37,Incident Number,F190052317
38,Address,1000 4th Av S
38,Type,Aid Response
38,Datetime,05/23/2019 11:57:00 AM
38,Latitude,47.594333
38,Longitude,-122.329049
38,Incident Number,F190052318
39,Address,420 4th Av
39,Type,Aid Response
39,Datetime,05/23/2019 11:56:00 AM
39,Latitude,47.601986
39,Longitude,-122.32914
39,Incident Number,F190052315
40,Address,10330 Meridian Av N
40,Type,Medic Response
40,Datetime,05/23/2019 11:54:00 AM
40,Latitude,47.703486
40,Longitude,-122.33390700000001
40,Incident Number,F190052313
41,Address,2622 California Av Sw
41,Type,Medic Response
41,Datetime,05/23/2019 11:47:00 AM
41,Latitude,47.580771999999996
41,Longitude,-122.386563
41,Incident Number,F190052311
42,Address,8621 DELRIDGE WAY SW
42,Type,Aid Response
42,Datetime,05/23/2019 11:46:00 AM
42,Latitude,47.526298
42,Longitude,-122.36047099999999
42,Incident Number,F190052308
43,Address,700 Fairview Av N
43,Type,Auto Fire Alarm
43,Datetime,05/23/2019 11:46:00 AM
43,Latitude,47.625121
43,Longitude,-122.33433600000001
43,Incident Number,F190052307
44,Address,2301 Ne 65th St
44,Type,Medic Response
44,Datetime,05/23/2019 11:46:00 AM
44,Latitude,47.675775
44,Longitude,-122.30273100000001
44,Incident Number,F190052309
45,Address,2012 Thorndyke Av W
45,Type,Trans to AMR
45,Datetime,05/23/2019 11:42:00 AM
45,Latitude,47.63707
45,Longitude,-122.38896000000001
45,Incident Number,F190052305
46,Address,4108 W Bertona St
46,Type,1RED 1 Unit
46,Datetime,05/23/2019 11:41:00 AM
46,Latitude,47.650449
46,Longitude,-122.40964199999999
46,Incident Number,F190052304
47,Address,206 3rd Av S
47,Type,Medic Response
47,Datetime,05/23/2019 11:37:00 AM
47,Latitude,47.600825
47,Longitude,-122.330272
47,Incident Number,F190052303
48,Address,11540 Pinehurst Way Ne
48,Type,Aid Response
48,Datetime,05/23/2019 11:35:00 AM
48,Latitude,47.712546
48,Longitude,-122.314732
48,Incident Number,F190052300
49,Address,6701 Earl Av Nw
49,Type,Trans to AMR
49,Datetime,05/23/2019 11:35:00 AM
49,Latitude,47.677654
49,Longitude,-122.391866
49,Incident Number,F190052301
50,Address,1215 Thomas St
50,Type,Aid Response
50,Datetime,05/23/2019 11:32:00 AM
50,Latitude,47.620815
50,Longitude,-122.33258500000001
50,Incident Number,F190052299
51,Address,Seneca St / 1st Av
51,Type,Aid Response
51,Datetime,05/23/2019 11:27:00 AM
51,Latitude,47.606122
51,Longitude,-122.337544
51,Incident Number,F190052298
52,Address,W Dravus St / 3rd Av W
52,Type,Aid Response
52,Datetime,05/23/2019 11:21:00 AM
52,Latitude,47.648663
52,Longitude,-122.360887
52,Incident Number,F190052295
53,Address,3920 Sw Holden St
53,Type,Aid Response
53,Datetime,05/23/2019 11:21:00 AM
53,Latitude,47.533553999999995
53,Longitude,-122.382236
53,Incident Number,F190052294
54,Address,1700 17th Av
54,Type,Aid Response
54,Datetime,05/23/2019 11:19:00 AM
54,Latitude,47.616443
54,Longitude,-122.310151
54,Incident Number,F190052292
55,Address,1717 N 85TH ST
55,Type,Fire in Single Family Res
55,Datetime,05/23/2019 11:19:00 AM
55,Latitude,47.690509999999996
55,Longitude,-122.33769099999999
55,Incident Number,F190052293
56,Address,515 Madison St
56,Type,Aid Response
56,Datetime,05/23/2019 11:17:00 AM
56,Latitude,47.606624
56,Longitude,-122.33162800000001
56,Incident Number,F190052291
57,Address,6727 Rainier Av S
57,Type,Medic Response
57,Datetime,05/23/2019 11:12:00 AM
57,Latitude,47.542238
57,Longitude,-122.27264199999999
57,Incident Number,F190052290
58,Address,600 S Jackson St
58,Type,Aid Response
58,Datetime,05/23/2019 11:11:00 AM
58,Latitude,47.599193
58,Longitude,-122.326361
58,Incident Number,F190052289
59,Address,1001 Alaskan Way
59,Type,Trans to AMR
59,Datetime,05/23/2019 10:56:00 AM
59,Latitude,47.603781
59,Longitude,-122.338424
59,Incident Number,F190052288
60,Address,700 MINOR AV
60,Type,Medic Response
60,Datetime,05/23/2019 10:51:00 AM
60,Latitude,47.607661
60,Longitude,-122.322073
60,Incident Number,F190052287
61,Address,2901 4th Av S
61,Type,Aid Response
61,Datetime,05/23/2019 10:50:00 AM
61,Latitude,47.577719
61,Longitude,-122.329058
61,Incident Number,F190052286
62,Address,4293 Memorial Way Ne
62,Type,Medic Response
62,Datetime,05/23/2019 10:43:00 AM
62,Latitude,47.659693
62,Longitude,-122.30963200000001
62,Incident Number,F190052284
63,Address,Woodland Park Av N / N 47th St
63,Type,Medic Response
63,Datetime,05/23/2019 10:42:00 AM
63,Latitude,47.662879
63,Longitude,-122.34456899999999
63,Incident Number,F190052282
64,Address,5710 22nd Av Nw
64,Type,Aid Response
64,Datetime,05/23/2019 10:41:00 AM
64,Latitude,47.67025
64,Longitude,-122.384743
64,Incident Number,F190052281
65,Address,1707 Sw Holly St
65,Type,Automatic Fire Alarm Resd
65,Datetime,05/23/2019 10:36:00 AM
65,Latitude,47.542871000000005
65,Longitude,-122.35613500000001
65,Incident Number,F190052278
66,Address,12001 LAKE CITY WAY NE
66,Type,Aid Response
66,Datetime,05/23/2019 10:32:00 AM
66,Latitude,47.715614
66,Longitude,-122.29740100000001
66,Incident Number,F190052274
67,Address,105 5th Av S
67,Type,Trans to AMR
67,Datetime,05/23/2019 10:13:00 AM
67,Latitude,47.601643
67,Longitude,-122.327656
67,Incident Number,F190052271
68,Address,10015 Lake City Way Ne
68,Type,Aid Response
68,Datetime,05/23/2019 10:12:00 AM
68,Latitude,47.701235
68,Longitude,-122.302498
68,Incident Number,F190052270
69,Address,515 MINOR AV
69,Type,Aid Response Yellow
69,Datetime,05/23/2019 10:05:00 AM
69,Latitude,47.606466999999995
69,Longitude,-122.32091000000001
69,Incident Number,F190052267
70,Address,517 3rd Av
70,Type,Aid Response
70,Datetime,05/23/2019 10:02:00 AM
70,Latitude,47.602171999999996
70,Longitude,-122.330863
70,Incident Number,F190052266
71,Address,601 N 34th St
71,Type,Aid Response
71,Datetime,05/23/2019 09:55:00 AM
71,Latitude,47.649821
71,Longitude,-122.35128700000001
71,Incident Number,F190052265
72,Address,1410 Ne 85th St
72,Type,Aid Response
72,Datetime,05/23/2019 09:44:00 AM
72,Latitude,47.690346999999996
72,Longitude,-122.313354
72,Incident Number,F190052263
73,Address,S Main St / 12th Av S
73,Type,Aid Response
73,Datetime,05/23/2019 09:36:00 AM
73,Latitude,47.600015
73,Longitude,-122.31723000000001
73,Incident Number,F190052260
74,Address,600 Broadway
74,Type,Aid Response
74,Datetime,05/23/2019 09:35:00 AM
74,Latitude,47.607217999999996
74,Longitude,-122.320752
74,Incident Number,F190052261
75,Address,2024 3rd Av
75,Type,Aid Response
75,Datetime,05/23/2019 09:31:00 AM
75,Latitude,47.612578000000006
75,Longitude,-122.341197
75,Incident Number,F190052258
76,Address,1740 AIRPORT WAY S
76,Type,Medic Response
76,Datetime,05/23/2019 09:23:00 AM
76,Latitude,47.587854
76,Longitude,-122.32139099999999
76,Incident Number,F190052256
77,Address,1820 Minor Av
77,Type,Trans to AMR
77,Datetime,05/23/2019 09:21:00 AM
77,Latitude,47.616989000000004
77,Longitude,-122.33081100000001
77,Incident Number,F190052254
78,Address,211 Dexter Av N
78,Type,Rescue Elevator
78,Datetime,05/23/2019 09:09:00 AM
78,Latitude,47.619839
78,Longitude,-122.34239099999999
78,Incident Number,F190052252
79,Address,2401 4th Av S
79,Type,Trans to AMR
79,Datetime,05/23/2019 08:53:00 AM
79,Latitude,47.581886
79,Longitude,-122.32905500000001
79,Incident Number,F190052249
80,Address,232 Queen Anne Av N
80,Type,Aid Response
80,Datetime,05/23/2019 08:34:00 AM
80,Latitude,47.620142
80,Longitude,-122.35674399999999
80,Incident Number,F190052247
81,Address,3717 39th Av S
81,Type,Aid Response
81,Datetime,05/23/2019 08:31:00 AM
81,Latitude,47.570522
81,Longitude,-122.283943
81,Incident Number,F190052246
82,Address,2030 3rd Av
82,Type,Aid Response
82,Datetime,05/23/2019 08:26:00 AM
82,Latitude,47.612626
82,Longitude,-122.341277
82,Incident Number,F190052245
83,Address,4545 42nd Av Sw
83,Type,Aid Response
83,Datetime,05/23/2019 08:26:00 AM
83,Latitude,47.562472
83,Longitude,-122.38545500000001
83,Incident Number,F190052244
84,Address,182-1/2 27th Av
84,Type,Aid Response Yellow
84,Datetime,05/23/2019 08:22:00 AM
84,Latitude,47.602996000000005
84,Longitude,-122.29785600000001
84,Incident Number,F190052242
85,Address,11th Av / E Pine St
85,Type,Aid Response
85,Datetime,05/23/2019 08:21:00 AM
85,Latitude,47.615254
85,Longitude,-122.31815900000001
85,Incident Number,F190052241
86,Address,7547 24th Av Nw
86,Type,Aid Response Yellow
86,Datetime,05/23/2019 08:16:00 AM
86,Latitude,47.683599
86,Longitude,-122.387565
86,Incident Number,F190052240
87,Address,1811 Eastlake Av
87,Type,Aid Response Yellow
87,Datetime,05/23/2019 08:14:00 AM
87,Latitude,47.618002000000004
87,Longitude,-122.329182
87,Incident Number,F190052238
88,Address,2418 Nw 56th St
88,Type,Aid Response
88,Datetime,05/23/2019 08:14:00 AM
88,Latitude,47.669458
88,Longitude,-122.38780700000001
88,Incident Number,F190052239
89,Address,500 Wall St
89,Type,Auto Fire Alarm
89,Datetime,05/23/2019 08:13:00 AM
89,Latitude,47.617356
89,Longitude,-122.345312
89,Incident Number,F190052237
90,Address,1902 2nd Av
90,Type,Medic Response
90,Datetime,05/23/2019 08:09:00 AM
90,Latitude,47.610972
90,Longitude,-122.340465
90,Incident Number,F190052236
91,Address,5300 24th Av Ne
91,Type,Medic Response
91,Datetime,05/23/2019 08:05:00 AM
91,Latitude,47.66707
91,Longitude,-122.301946
91,Incident Number,F190052235
92,Address,5349 S Hazel St
92,Type,Aid Response
92,Datetime,05/23/2019 08:03:00 AM
92,Latitude,47.504855
92,Longitude,-122.2653
92,Incident Number,F190052234
93,Address,NB SR509 TO MICHIGAN / S MICHIGAN ST
93,Type,Medic Response Freeway
93,Datetime,05/23/2019 07:58:00 AM
93,Latitude,47.544881
93,Longitude,-122.33130600000001
93,Incident Number,F190052233
94,Address,360 W Ewing St
94,Type,Aid Response
94,Datetime,05/23/2019 07:42:00 AM
94,Latitude,47.652204
94,Longitude,-122.362075
94,Incident Number,F190052231
95,Address,85 Pike St
95,Type,Aid Response
95,Datetime,05/23/2019 07:25:00 AM
95,Latitude,47.608584
95,Longitude,-122.340581
95,Incident Number,F190052227
96,Address,1007 1st Av
96,Type,Activated CO Detector
96,Datetime,05/23/2019 07:24:00 AM
96,Latitude,47.604739
96,Longitude,-122.33627800000001
96,Incident Number,F190052226
97,Address,5410 20th Av S
97,Type,Trans to AMR
97,Datetime,05/23/2019 07:08:00 AM
97,Latitude,47.553828
97,Longitude,-122.307326
97,Incident Number,F190052223
98,Address,15th Av S / S Spokane St
98,Type,MVI - Motor Vehicle Incident
98,Datetime,05/23/2019 06:54:00 AM
98,Latitude,47.571628999999994
98,Longitude,-122.31340800000001
98,Incident Number,F190052220
99,Address,13300 19th Av Ne
99,Type,Aid Response
99,Datetime,05/23/2019 06:50:00 AM
99,Latitude,47.725446000000005
99,Longitude,-122.309081
99,Incident Number,F190052219
100,Address,318 2nd Av Et S
100,Type,Aid Response
100,Datetime,05/23/2019 06:41:00 AM
100,Latitude,47.600194
100,Longitude,-122.330541
100,Incident Number,F190052216
101,Address,814 Ne 40th St
101,Type,Trans to AMR
101,Datetime,05/23/2019 06:28:00 AM
101,Latitude,47.655839
101,Longitude,-122.31965500000001
101,Incident Number,F190052213
102,Address,3204 Sw Morgan St
102,Type,Aid Response Yellow
102,Datetime,05/23/2019 06:23:00 AM
102,Latitude,47.544669
102,Longitude,-122.373777
102,Incident Number,F190052211
103,Address,12002 Roosevelt Way Ne
103,Type,Aid Response Yellow
103,Datetime,05/23/2019 06:19:00 AM
103,Latitude,47.71583
103,Longitude,-122.318021
103,Incident Number,F190052209
104,Address,1400 S Main St
104,Type,Aid Response
104,Datetime,05/23/2019 06:14:00 AM
104,Latitude,47.600009
104,Longitude,-122.31413500000001
104,Incident Number,F190052208
105,Address,3009 3RD AV W
105,Type,Aid Response
105,Datetime,05/23/2019 06:03:00 AM
105,Latitude,47.646778000000005
105,Longitude,-122.360895
105,Incident Number,F190052207
106,Address,2704 22nd Av S
106,Type,Automatic Fire Alarm Resd
106,Datetime,05/23/2019 05:10:00 AM
106,Latitude,47.579142
106,Longitude,-122.304332
106,Incident Number,F190052205
107,Address,12740 33rd Av Ne
107,Type,Aid Response
107,Datetime,05/23/2019 05:10:00 AM
107,Latitude,47.720938000000004
107,Longitude,-122.29251299999999
107,Incident Number,F190052204
108,Address,N 89TH ST / AURORA AV N
108,Type,Medic Response
108,Datetime,05/23/2019 05:01:00 AM
108,Latitude,47.693461
108,Longitude,-122.34455600000001
108,Incident Number,F190052203
109,Address,400 Spring St
109,Type,Scenes Of Violence 7
109,Datetime,05/23/2019 04:11:00 AM
109,Latitude,47.606801000000004
109,Longitude,-122.33356200000001
109,Incident Number,F190052202
110,Address,1811 Eastlake Av
110,Type,Medic Response
110,Datetime,05/23/2019 04:10:00 AM
110,Latitude,47.618002000000004
110,Longitude,-122.329182
110,Incident Number,F190052201
111,Address,Lake City Way Ne / Ne 130th St
111,Type,Medic Response
111,Datetime,05/23/2019 03:55:00 AM
111,Latitude,47.722899
111,Longitude,-122.293194
111,Incident Number,F190052198
112,Address,6940 M L King Jr Way S
112,Type,Medic Response
112,Datetime,05/23/2019 03:55:00 AM
112,Latitude,47.540318
112,Longitude,-122.282693
112,Incident Number,F190052199
113,Address,1128 13th Av
113,Type,Alarm Bell
113,Datetime,05/23/2019 03:35:00 AM
113,Latitude,47.611678999999995
113,Longitude,-122.31543700000002
113,Incident Number,F190052195
114,Address,2024 3rd Av
114,Type,Medic Response
114,Datetime,05/23/2019 03:32:00 AM
114,Latitude,47.612578000000006
114,Longitude,-122.341197
114,Incident Number,F190052194
115,Address,11030 5th Av Ne
115,Type,Aid Response
115,Datetime,05/23/2019 03:23:00 AM
115,Latitude,47.709488
115,Longitude,-122.323301
115,Incident Number,F190052193
116,Address,4209 30th Av Sw
116,Type,Scenes Of Violence Aid
116,Datetime,05/23/2019 02:52:00 AM
116,Latitude,47.566296
116,Longitude,-122.37078500000001
116,Incident Number,F190052190
117,Address,1811 Eastlake Av
117,Type,Trans to AMR
117,Datetime,05/23/2019 02:31:00 AM
117,Latitude,47.618002000000004
117,Longitude,-122.329182
117,Incident Number,F190052185
118,Address,2nd Av / Blanchard St
118,Type,Medic Response
118,Datetime,05/23/2019 02:20:00 AM
118,Latitude,47.613271000000005
118,Longitude,-122.344353
118,Incident Number,F190052182
119,Address,8th Av S / S Jackson St
119,Type,Unk Odor
119,Datetime,05/23/2019 02:11:00 AM
119,Latitude,47.599185999999996
119,Longitude,-122.322445
119,Incident Number,F190052177
120,Address,140 23rd Av S
120,Type,Aid Response
120,Datetime,05/23/2019 02:04:00 AM
120,Latitude,47.601407
120,Longitude,-122.30223500000001
120,Incident Number,F190052175
121,Address,3rd Av / Pike St
121,Type,Aid Response
121,Datetime,05/23/2019 02:00:00 AM
121,Latitude,47.60975
121,Longitude,-122.33779299999999
121,Incident Number,F190052174
122,Address,Eb I90 At Rainier
122,Type,Brush Fire Freeway
122,Datetime,05/23/2019 01:37:00 AM
122,Latitude,47.592504999999996
122,Longitude,-122.31196299999999
122,Incident Number,F190052170
123,Address,3rd Av / Pike St
123,Type,Trans to AMR
123,Datetime,05/23/2019 01:32:00 AM
123,Latitude,47.60975
123,Longitude,-122.33779299999999
123,Incident Number,F190052168
124,Address,7547 24th Av Nw
124,Type,Trans to AMR
124,Datetime,05/23/2019 01:29:00 AM
124,Latitude,47.683599
124,Longitude,-122.387565
124,Incident Number,F190052167
125,Address,3211 44th Av Sw
125,Type,Aid Response
125,Datetime,05/23/2019 01:25:00 AM
125,Latitude,47.575539
125,Longitude,-122.38803500000002
125,Incident Number,F190052166
126,Address,12544 27th Av Ne
126,Type,Aid Response
126,Datetime,05/23/2019 01:12:00 AM
126,Latitude,47.719694
126,Longitude,-122.29909199999999
126,Incident Number,F190052164
127,Address,14100 Linden Av N
127,Type,Trans to AMR
127,Datetime,05/23/2019 01:11:00 AM
127,Latitude,47.73104
127,Longitude,-122.34776399999998
127,Incident Number,F190052165
128,Address,9061 Seward Park Av S
128,Type,Trans to AMR
128,Datetime,05/23/2019 01:08:00 AM
128,Latitude,47.521679
128,Longitude,-122.264284
128,Incident Number,F190052163
129,Address,4907 Fremont Av N
129,Type,Aid Response
129,Datetime,05/23/2019 01:01:00 AM
129,Latitude,47.664346
